i,Action,Industry,Country,ИНН
Garmin,stop all future trade with Russia; still provide GPS services to devices in Russia (incl. Russian military),Consumer Discretionary,United States,
GE,stopped sales in Russia and Belarus except medical equipment and support for electric power generation and transmission,Industrials,United States,7705891020
GEA Group,suspend new investments,Industrials,Germany,9724079805
General Mills,suspended sales of global brands in its JV,Consumer Staples,United States,7705598512
Geodis,suspend services in Russia & reduce shipments to and from Russia significantly,Industrials,France,6316163757
Georg Fischer,temporary suspension of deliveries to Russia,Industrials,Switzerland,
Goldman Sachs,wind down business in Russia but buy Russian debt,Financials,United States,7750005387
Groupe BPCE,suspend many transactions and cease new financing,Financials,France,
Hellenic Bottling Company,vaguely suspend some operations in Russia,Consumer Staples,Greece,
Herbalife,suspend sales and shipments to Russia but independent sellers remain operational,Consumer Staples,United States,7702512933
HILTI,limiting sales and workforce in Russia,Industrials,Liechtenstein,7710050305
Hostinger,stop accepting payments for new purchases and renewals,Information Technology,Lithuania,
Idemitsu Kosan,stop coal imports; lubricants business unchanged,Energy,Japan,7702743313
Indesit,"suspend production due to ""full warehouses""",Consumer Discretionary,Italy,7717654289
IndusInd Bank,can no longer clear rupee rouble conversions,Financials,India,
Ingersoll Rand,scale back to only health critical services,Industrials,United States,7725641533
Ingka,"stop all exports, IKEA production; keep open retail centers (Mega)",Consumer Discretionary,Netherlands,5047202308
"Inspire Brands (Dunkin' Donuts, Baskin Robins)",halt corporate support for franchisees,Consumer Discretionary,United States,
International Biathlon Union,Russians to compete as neutral athletes,NGO,Austria,
IPG Photonics,suspend new investments and reduce manufacturing in Russia,Information Technology,United States,5052002745
Iskratel,paused some business with Russia,Communication Services,Slovenia,6660017837
Iveco,suspend deliveries to Russia; truck JV still in operations,Industrials,Italy,7743601156
J&T Finance Group,curb its activities in Russia,Financials,Slovakia,7713001271
JPMorgan,wind down business in Russia but buy Russian debt,Financials,United States,7701045732
Julius Baer,"wind down Russian office, suspend new business in Russia, reduce current exposure; retain current Russian clients",Financials,Switzerland,4029030252
Kearney,suspend new work with Russian clients,Industrials,United States,7726626418
Kellogg,suspend new investments except essentials (minor),Consumer Staples,United States,3661048688
Kotak Mahindra,paused transaction through cards in Russia,Financials,India,
Kuehne + Nagel AG,"suspend all shipments to Russia (except Pharma, healthcare and humanitarian supplies)",Industrials,Switzerland,
Lear Corporation,still operating in Russia; no disclosed publicly,Consumer Discretionary,United States,5256029449
Legal & General,reduce exposure,Financials,United Kingdom,7719838450
Linde,divest certain industrial assets and suspend new development/investments,Materials,Germany,600003490
Lotos,stopped purchasing Russian spot oil,Energy,Poland,7721026015
Loyalty Ventures,scale back most services and stop new sales,Consumer Discretionary,United States,
Luxottica,restrict Russian operations to medical services,Consumer Discretionary,Italy,7743892963
LyondellBasell,end all business with state-controlled entities,Materials,Netherlands,6324042026
Mahle,halt new business & scale back shipments to Russia significantly,Industrials,Germany,7725600174
Mars,scale back business and stopped advertising/new investments/exports in Russia,Consumer Staples,United States,7731664680
Marubeni,scaling down but still in numerous projects across Russia,Industrials,Japan,7703468839
Maruti Suzuki,suspend car exports,Consumer Discretionary,India,
Mashreqbank,halt loans to Russia,Financials,United Arab Emirates,
Microsoft,suspend new sales in Russia but continue existing access,Information Technology,United States,7743528989
Miele,suspend operations except exempt healthcare,Consumer Discretionary,Germany,5249143648
Milliken & Co,still operating in Russia,Materials,United States,
Miro,close office in Moscow & pause new sales,Information Technology,Netherlands,
Mitsubishi UFJ Financial Group,Japanese expats working for MUFG Bank (Eurasia) have moved out of Russia to work outside of the country on a temporary basis,Financials,Japan,
Moody's,suspend commercial operations within Russia,Financials,United States,7714594218
Nalco Water (Ecolab),suspended services except services critical to health,Industrials,United States,
Natura,suspend some subsidiary operations but not all,Consumer Staples,United States,1513058424
Nemetschek Group,suspend any new business in Russia & all business with sanctioned entities,Information Technology,Germany,
